id,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
1,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,?,chiffon,ruffles,animal,2
2,Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,?,ruffles,animal,1
3,vintage,High,0,L,Automn,o-neck,full,natural,polyster,?,?,print,1
4,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,2
5,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,1
6,bohemian,Low,0,M,Summer,v-neck,sleevless,empire,?,?,?,print,1
7,Casual,Average,0,XL,Summer,o-neck,full,?,cotton,?,?,solid,1
8,Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,?,1
9,Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,2
10,bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,?,?,2
11,party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,1
12,Flare,Average,0,free,Spring,v-neck,short,?,nylon,?,?,animal,1
13,sexy,Low,4.7,M,Winter,o-neck,threequarter,?,?,chiffon,lace,print,2
14,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,?,animal,2
15,Casual,Low,5,M,Summer,boat-neck,short,?,cotton,?,sashes,solid,1
16,Casual,Low,0,free,Winter,boat-neck,full,?,other,other,lace,?,1
17,cute,Average,4.7,L,spring,o-neck,short,?,cotton,?,sashes,solid,2
18,bohemian,Medium,5,free,Automn,o-neck,full,natural,?,?,hollowout,patchwork,2
19,Brief,Average,0,M,Winter,peterpan-collor,threequarter,natural,cotton,?,?,patchwork,1
20,Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,?,?,?,2
21,Sexy,Average,4.5,L,Automn,o-neck,full,?,cotton,?,beading,solid,1
22,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,?,chiffon,?,solid,1
